date,population,admission,release
2021-04-16,102594.70286080825,2550.7078603785612,2679.949138899185
2021-04-17,102175.27778166458,2606.7530317181254,1191.9281108618018
2021-04-18,102814.7277025209,1832.2530317181245,1132.9459680046589
2021-04-19,103383.74905194866,1701.9673174324103,2921.373640960634
2021-04-20,102900.7704013764,2442.3198815349747,2607.509521118212
2021-04-21,102814.85153102393,2521.590650765744,2612.0809496896404
2021-04-22,102725.07551781432,2523.1620793371726,2813.2380925467833
2021-04-23,102326.1745046047,2414.3370793371723,2459.5714258801163
2021-04-24,102405.94015806177,2539.337079337173,1221.571425880117
2021-04-25,102912.70581151884,1726.5870793371723,1140.1586707780762
2021-04-26,103382.99442415957,1615.8676915820702,2946.0314598937225
2021-04-27,102867.3306558479,2428.588524915404,2856.9467376715006
2021-04-28,102731.91688753624,2718.96154078842,2930.5326821948865
2021-04-29,102278.46428684956,2480.9006488840655,2784.481186246997
2021-04-30,102042.7778845677,2563.1766639198477,2775.0110888005674
2021-05-01,101993.78357268132,2728.508302337927,1197.5026142242962
2021-05-02,102666.78926079495,1870.5083023379266,1081.5026142242962
